time	V(c)
9.384999999996369e-003	6.050461e-003
9.404999999996361e-003	5.218764e-003
9.424999999996353e-003	4.291922e-003
9.444999999996345e-003	3.278762e-003
9.464999999996338e-003	2.189756e-003
9.484999999996330e-003	1.037192e-003
9.504999999996322e-003	-1.646747e-004
9.524999999996314e-003	-1.399513e-003
9.544999999996306e-003	-2.648860e-003
9.564999999996299e-003	-3.892173e-003
9.584999999996291e-003	-5.107005e-003
9.604999999996283e-003	-6.269362e-003
9.624999999996275e-003	-7.354246e-003
9.644999999996268e-003	-8.336419e-003
9.664999999996260e-003	-9.191357e-003
9.684999999996252e-003	-9.896356e-003
9.704999999996244e-003	-1.043171e-002
9.724999999996237e-003	-1.078186e-002
9.744999999996229e-003	-1.093633e-002
9.764999999996221e-003	-1.089047e-002
9.784999999996213e-003	-1.064571e-002
9.804999999996206e-003	-1.020951e-002
9.824999999996198e-003	-9.594836e-003
9.844999999996190e-003	-8.819320e-003
9.864999999996182e-003	-7.904196e-003
9.884999999996175e-003	-6.873134e-003
9.904999999996167e-003	-5.751081e-003
9.924999999996159e-003	-4.563221e-003
9.944999999996151e-003	-3.334112e-003
9.964999999996144e-003	-2.087024e-003
9.984999999996136e-003	-8.434924e-004
1.000499999999613e-002	3.769507e-004
1.002499999999612e-002	1.556886e-003
1.004499999999611e-002	2.681003e-003
1.006499999999611e-002	3.736019e-003
1.008499999999610e-002	4.710542e-003
1.010499999999609e-002	5.594915e-003
1.012499999999608e-002	6.381049e-003
1.014499999999607e-002	7.062267e-003
1.016499999999607e-002	7.633157e-003
1.018499999999606e-002	8.089456e-003
1.020499999999605e-002	8.427939e-003
1.022499999999604e-002	8.646321e-003
1.024499999999604e-002	8.743098e-003
1.026499999999603e-002	8.717399e-003
1.028499999999602e-002	8.569056e-003
1.030499999999601e-002	8.298869e-003
1.032499999999600e-002	7.908693e-003
1.034499999999600e-002	7.401355e-003
1.036499999999599e-002	6.780656e-003
1.038499999999598e-002	6.051444e-003
1.040499999999597e-002	5.219744e-003
1.042499999999597e-002	4.292898e-003
1.044499999999596e-002	3.279733e-003
1.046499999999595e-002	2.190723e-003
1.048499999999594e-002	1.038154e-003
1.050499999999593e-002	-1.637185e-004
1.052499999999593e-002	-1.398563e-003
1.054499999999592e-002	-2.647916e-003
1.056499999999591e-002	-3.891235e-003
1.058499999999590e-002	-5.106074e-003
1.060499999999590e-002	-6.268437e-003
1.062499999999589e-002	-7.353327e-003
1.064499999999588e-002	-8.335505e-003
1.066499999999587e-002	-9.190448e-003
1.068499999999586e-002	-9.895451e-003
1.070499999999586e-002	-1.043081e-002
1.072499999999585e-002	-1.078096e-002
1.074499999999584e-002	-1.093543e-002
1.076499999999583e-002	-1.088957e-002
1.078499999999583e-002	-1.064481e-002
1.080499999999582e-002	-1.020861e-002
1.082499999999581e-002	-9.593930e-003
1.084499999999580e-002	-8.818409e-003
1.086499999999580e-002	-7.903281e-003
1.088499999999579e-002	-6.872213e-003
1.090499999999578e-002	-5.750153e-003
1.092499999999577e-002	-4.562287e-003
1.094499999999576e-002	-3.333172e-003
1.096499999999576e-002	-2.086078e-003
1.098499999999575e-002	-8.425400e-004
1.100499999999574e-002	3.779087e-004
1.102499999999573e-002	1.557849e-003
1.104499999999573e-002	2.681971e-003
1.106499999999572e-002	3.736992e-003
1.108499999999571e-002	4.711519e-003
1.110499999999570e-002	5.595895e-003
1.112499999999569e-002	6.382033e-003
1.114499999999569e-002	7.063253e-003
1.116499999999568e-002	7.634145e-003
1.118499999999567e-002	8.090446e-003
1.120499999999566e-002	8.428931e-003
1.122499999999566e-002	8.647313e-003
1.124499999999565e-002	8.744090e-003
1.126499999999564e-002	8.718391e-003
1.128499999999563e-002	8.570046e-003
1.130499999999562e-002	8.299859e-003
1.132499999999562e-002	7.909681e-003
1.134499999999561e-002	7.402342e-003
1.136499999999560e-002	6.781640e-003
1.138499999999559e-002	6.052426e-003
1.140499999999559e-002	5.220721e-003
1.142499999999558e-002	4.293873e-003
1.144499999999557e-002	3.280703e-003
1.146499999999556e-002	2.191688e-003
1.148499999999555e-002	1.039114e-003
1.150499999999555e-002	-1.627642e-004
1.152499999999554e-002	-1.397614e-003
1.154499999999553e-002	-2.646974e-003
1.156499999999552e-002	-3.890299e-003
1.158499999999552e-002	-5.105144e-003
1.160499999999551e-002	-6.267513e-003
1.162499999999550e-002	-7.352409e-003
1.164499999999549e-002	-8.334593e-003
1.166499999999549e-002	-9.189541e-003
1.168499999999548e-002	-9.894548e-003
1.170499999999547e-002	-1.042991e-002
1.172499999999546e-002	-1.078006e-002
1.174499999999545e-002	-1.093454e-002
1.176499999999545e-002	-1.088867e-002
1.178499999999544e-002	-1.064391e-002
1.180499999999543e-002	-1.020771e-002
1.182499999999542e-002	-9.593025e-003
1.184499999999542e-002	-8.817500e-003
1.186499999999541e-002	-7.902366e-003
1.188499999999540e-002	-6.871292e-003
1.190499999999539e-002	-5.749227e-003
1.192499999999538e-002	-4.561355e-003
1.194499999999538e-002	-3.332233e-003
1.196499999999537e-002	-2.085133e-003
1.198499999999536e-002	-8.415895e-004
1.200499999999535e-002	3.788649e-004
1.202499999999535e-002	1.558810e-003
1.204499999999534e-002	2.682938e-003
1.206499999999533e-002	3.737962e-003
1.208499999999532e-002	4.712494e-003
1.210499999999531e-002	5.596874e-003
1.212499999999531e-002	6.383014e-003
1.214499999999530e-002	7.064237e-003
1.216499999999529e-002	7.635131e-003
1.218499999999528e-002	8.091434e-003
1.220499999999528e-002	8.429920e-003
1.222499999999527e-002	8.648302e-003
1.224499999999526e-002	8.745080e-003
1.226499999999525e-002	8.719381e-003
1.228499999999524e-002	8.571036e-003
1.230499999999524e-002	8.300847e-003
1.232499999999523e-002	7.910667e-003
1.234499999999522e-002	7.403326e-003
1.236499999999521e-002	6.782623e-003
1.238499999999521e-002	6.053405e-003
1.240499999999520e-002	5.221698e-003
1.242499999999519e-002	4.294844e-003
1.244499999999518e-002	3.281671e-003
1.246499999999517e-002	2.192651e-003
1.248499999999517e-002	1.040072e-003
1.250499999999516e-002	-1.618118e-004
1.252499999999515e-002	-1.396668e-003
1.254499999999514e-002	-2.646033e-003
1.256499999999514e-002	-3.889365e-003
1.258499999999513e-002	-5.104216e-003
1.260499999999512e-002	-6.266592e-003
1.262499999999511e-002	-7.351494e-003
1.264499999999511e-002	-8.333683e-003
1.266499999999510e-002	-9.188635e-003
1.268499999999509e-002	-9.893646e-003
1.270499999999508e-002	-1.042901e-002
1.272499999999507e-002	-1.077917e-002
1.274499999999507e-002	-1.093364e-002
1.276499999999506e-002	-1.088778e-002
1.278499999999505e-002	-1.064301e-002
1.280499999999504e-002	-1.020681e-002
1.282499999999504e-002	-9.592123e-003
1.284499999999503e-002	-8.816593e-003
1.286499999999502e-002	-7.901454e-003
1.288499999999501e-002	-6.870375e-003
1.290499999999500e-002	-5.748303e-003
1.292499999999500e-002	-4.560425e-003
1.294499999999499e-002	-3.331297e-003
1.296499999999498e-002	-2.084190e-003
1.298499999999497e-002	-8.406408e-004
1.300499999999497e-002	3.798192e-004
1.302499999999496e-002	1.559770e-003
1.304499999999495e-002	2.683902e-003
1.306499999999494e-002	3.738931e-003
