time	V(b)
1.212499999999531e-002	6.981542e-001
1.214499999999530e-002	6.988336e-001
1.216499999999529e-002	6.994026e-001
1.218499999999528e-002	6.998568e-001
1.220499999999528e-002	7.001930e-001
1.222499999999527e-002	7.004091e-001
1.224499999999526e-002	7.005035e-001
1.226499999999525e-002	7.004754e-001
1.228499999999524e-002	7.003247e-001
1.230499999999524e-002	7.000522e-001
1.232499999999523e-002	6.996599e-001
1.234499999999522e-002	6.991505e-001
1.236499999999521e-002	6.985279e-001
1.238499999999521e-002	6.977971e-001
1.240499999999520e-002	6.969639e-001
1.242499999999519e-002	6.960359e-001
1.244499999999518e-002	6.950217e-001
1.246499999999517e-002	6.939321e-001
1.248499999999517e-002	6.927791e-001
1.250499999999516e-002	6.915772e-001
1.252499999999515e-002	6.903425e-001
1.254499999999514e-002	6.890936e-001
1.256499999999514e-002	6.878511e-001
1.258499999999513e-002	6.866373e-001
1.260499999999512e-002	6.854763e-001
1.262499999999511e-002	6.843929e-001
1.264499999999511e-002	6.834124e-001
1.266499999999510e-002	6.825594e-001
1.268499999999509e-002	6.818564e-001
1.270499999999508e-002	6.813232e-001
1.272499999999507e-002	6.809753e-001
1.274499999999507e-002	6.808230e-001
1.276499999999506e-002	6.808712e-001
1.278499999999505e-002	6.811182e-001
1.280499999999504e-002	6.815566e-001
1.282499999999504e-002	6.821734e-001
1.284499999999503e-002	6.829509e-001
1.286499999999502e-002	6.838678e-001
1.288499999999501e-002	6.849005e-001
1.290499999999500e-002	6.860240e-001
1.292499999999500e-002	6.872131e-001
1.294499999999499e-002	6.884431e-001
1.296499999999498e-002	6.896909e-001
1.298499999999497e-002	6.909348e-001
1.300499999999497e-002	6.921554e-001
1.302499999999496e-002	6.933351e-001
1.304499999999495e-002	6.944587e-001
1.306499999999494e-002	6.955129e-001
1.308499999999493e-002	6.964864e-001
1.310499999999493e-002	6.973695e-001
1.312499999999492e-002	6.981540e-001
1.314499999999491e-002	6.988335e-001
1.316499999999490e-002	6.994025e-001
1.318499999999490e-002	6.998566e-001
1.320499999999489e-002	7.001929e-001
1.322499999999488e-002	7.004089e-001
1.324499999999487e-002	7.005033e-001
1.326499999999486e-002	7.004752e-001
1.328499999999486e-002	7.003245e-001
1.330499999999485e-002	7.000521e-001
1.332499999999484e-002	6.996597e-001
1.334499999999483e-002	6.991503e-001
1.336499999999483e-002	6.985278e-001
1.338499999999482e-002	6.977969e-001
1.340499999999481e-002	6.969637e-001
1.342499999999480e-002	6.960356e-001
1.344499999999479e-002	6.950216e-001
1.346499999999479e-002	6.939319e-001
